Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as
First Sunday of Advent [1] Violet,27/11/2005,,,,TRUE,,3
Monday of Advent 1,28/11/2005,,,,TRUE,,3
Tuesday of Advent 1,29/11/2005,,,,TRUE,,3
"Andrew, Apostle, Patron of Scotland [4] Red",30/11/2005,,,,TRUE,,3
"Charles de Foucauld, Priest and Hermit, 1916 [6] White",01/12/2005,,,,TRUE,,3
"Nicholas Ferrar, Deacon, 1637 [6] White",02/12/2005,,,,TRUE,,3
"Francis Xavier, Priest and Missionary, 1552 [6] White",03/12/2005,,,,TRUE,,3
Second Sunday of Advent [1] Violet,04/12/2005,,,,TRUE,,3
Monday of Advent 2,05/12/2005,,,,TRUE,,3
"Nicholas of Myra, Bishop, 4th century [6] White",06/12/2005,,,,TRUE,,3
"Ambrose of Milan, Bishop and Teacher of the Faith, c.210 [6] White",07/12/2005,,,,TRUE,,3
"Conception of Mary, Mother of the Lord [5] White",08/12/2005,,,,TRUE,,3
Friday of Advent 2,09/12/2005,,,,TRUE,,3
Saturday of Advent 2,10/12/2005,,,,TRUE,,3
Third Sunday of Advent [1] Violet,11/12/2005,,,,TRUE,,3
"Monday of Advent 3 (Ordination of the Bishop of Glasgow, 1998)",12/12/2005,,,,TRUE,,3
Tuesday of Advent 3,13/12/2005,,,,TRUE,,3
"John of the Cross, Priest, Teacher of the Faith, 1591 [6] White",14/12/2005,,,,TRUE,,3
Thursday of Advent 3,15/12/2005,,,,TRUE,,3
Friday of Advent 3,16/12/2005,,,,TRUE,,3
Saturday of Advent 3,17/12/2005,,,,TRUE,,3
Fourth Sunday of Advent [1] Violet,18/12/2005,,,,TRUE,,3
Monday of Advent 4,19/12/2005,,,,TRUE,,3
Tuesday of Advent 4,20/12/2005,,,,TRUE,,3
"Thomas, Apostle [4] Red (if not kept on 3 July)",21/12/2005,,,,TRUE,,3
Thursday of Advent 4,22/12/2005,,,,TRUE,,3
Friday of Advent 4,23/12/2005,,,,TRUE,,3
Christmas Eve [2] White,24/12/2005,,,,TRUE,,3
CHRISTMAS DAY [1] White,25/12/2005,,,,TRUE,,3
"Stephen, Deacon and Martyr [4] Red",26/12/2005,,,,TRUE,,3
"John, Apostle and Evangelist [4] White",27/12/2005,,,,TRUE,,3
The Holy Innocents [4] White,28/12/2005,,,,TRUE,,3
"Thomas of Canterbury, Bishop and Martyr, 1170 [6] Red",29/12/2005,,,,TRUE,,3
"Josephine Butler, 1905 [6] White",30/12/2005,,,,TRUE,,3
"John Wycliffe, Priest, 1384 [6] White",31/12/2005,,,,TRUE,,3
THE NAMING OF JESUS [2] White,01/01/2006,,,,TRUE,,3
"Seraphim of Sarov, 1833 [6] White",02/01/2006,,,,TRUE,,3
Tuesday of Christmas 1,03/01/2006,,,,TRUE,,3
Wednesday of Christmas 1,04/01/2006,,,,TRUE,,3
Thursday of Christmas 1,05/01/2006,,,,TRUE,,3
THE EPIPHANY OF THE LORD [1] White,06/01/2006,,,,TRUE,,3
Saturday following Epiphany,07/01/2006,,,,TRUE,,3
First Sunday after Epiphany: the Baptism of the Lord [2] White,08/01/2006,,,,TRUE,,3
Monday of Epiphany 1,09/01/2006,,,,TRUE,,3
"William Laud, Bishop, 1645 [6] Red",10/01/2006,,,,TRUE,,3
"David, King of Scots, 1153 [6] Red",11/01/2006,,,,TRUE,,3
Thursday of Epiphany 1,12/01/2006,,,,TRUE,,3
"Kentigern (or Mungo), Bishop, c.603 [4] White",13/01/2006,,,,TRUE,,3
"Hilary of Poitiers, Bishop and Teacher of the Faith [6] White",14/01/2006,,,,TRUE,,3
Second Sunday after Epiphany [3] Green,15/01/2006,,,,TRUE,,3
Monday of Epiphany 2,16/01/2006,,,,TRUE,,3
"Antony of Egypt, Abbot, 356 [6] White",17/01/2006,,,,TRUE,,3
The Confession of Peter [6] White,18/01/2006,,,,TRUE,,3
Thursday of Epiphany 2,19/01/2006,,,,TRUE,,3
Friday of Epiphany 2,20/01/2006,,,,TRUE,,3
"Agnes, Martyr, c.304 [6] Red",21/01/2006,,,,TRUE,,3
Third Sunday after Epiphany [3] Green,22/01/2006,,,,TRUE,,3
Monday of Epiphany 3,23/01/2006,,,,TRUE,,3
"Francis de Sales, Bishop, 1622 [6] White",24/01/2006,,,,TRUE,,3
The Conversion of Saint Paul [4] White,25/01/2006,,,,TRUE,,3
"Timothy and Titus, Bishops [6] White",26/01/2006,,,,TRUE,,3
"John Chrysostom, Bishop and Teacher of the Faith, 407 [6] White",27/01/2006,,,,TRUE,,3
"Thomas Aquinas, Teacher of the Faith, 1274 [6] White",28/01/2006,,,,TRUE,,3
Fourth Sunday after Epiphany [3] Green,29/01/2006,,,,TRUE,,3
"Charles I, King, 1649 [6] Red",30/01/2006,,,,TRUE,,3
"Charles Mackenzie of Central Africa, Bishop, Missionary, Martyr, 1862 [6] Red",31/01/2006,,,,TRUE,,3
